,level_0,index,zcr,spectral_c,rolloff,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,name,Emotions
17,17,17,2610,1445.8086642849048,3005.67626953125,-367.80197,128.94246,-9.392797,37.561848,-8.458674,15.071272,-8.605341,-2.4949813,-11.272607,-8.251364,-6.1730394,-0.7806692,-1.3315556,-13.461317,3.5724733,-17.709927,-3.1723928,-2.3789055,-6.4922466,-3.657511,1001_IEO_HAP_MD,happy
18,18,18,2470,1439.6236270318445,3054.1259765625,-403.9188,147.00464,-18.05951,56.45071,-18.240004,29.054586,-15.671399,7.0091796,-12.94147,-6.3162675,-2.5912552,-3.9147184,-0.44122455,-15.025637,9.695188,-20.939783,-1.4057723,-5.706815,-4.87184,-2.1719239,1001_IEO_NEU_XX,neutral
19,19,19,2761,1292.6060621983554,2564.0599744073274,-416.4497,147.4566,-8.637009,47.367924,-8.063223,23.333647,-17.794678,4.021767,-10.782006,-6.0733194,-3.7693496,-5.145652,1.3263649,-15.960392,4.7214394,-15.186204,-1.7120548,-5.078371,-6.472478,-4.5359716,1001_IEO_SAD_HI,sad
20,20,20,2484,1288.0087018958563,2609.1939786585367,-423.3986,154.6715,-11.538518,53.501755,-17.326513,29.534645,-18.393972,5.358043,-11.107068,-7.0404043,-4.8471737,-5.1855316,2.7867367,-15.219959,5.511939,-17.722822,3.705169,-3.426699,-5.7514324,-5.149407,1001_IEO_SAD_LO,sad
21,21,21,2426,1303.8691721210857,2604.5126953125,-413.0216,160.8179,-19.661245,54.60606,-17.20787,26.717789,-22.82594,5.3145924,-13.487132,-5.798606,-5.6129184,-4.8443,6.329481,-16.148079,5.005283,-19.268017,3.65082,-6.0117064,-9.193057,-3.6542594,1001_IEO_SAD_MD,sad
22,22,22,2874,1340.7612835399952,2700.7785962975545,-363.3024,127.25707,-10.672043,44.79972,6.503006,7.797716,-9.669499,-2.3760624,-9.044162,-7.3377647,-9.13222,-4.6857576,-2.9253912,-14.436056,4.4095836,-11.836269,-6.8700714,-2.873907,-6.188281,-4.141867,1001_IOM_ANG_XX,angry
23,23,23,2797,1266.0342670796185,2553.8818359375,-422.15976,150.08408,-17.569366,59.05676,-6.007043,21.79798,-20.425995,10.918153,-11.321668,-10.594756,-4.8272862,-6.4594193,0.32539168,-17.030073,7.771425,-14.449342,-0.60672957,-5.8455796,-3.789496,-2.801377,1001_IOM_DIS_XX,disgust
24,24,24,4039,1381.527192329562,2776.2951362423782,-329.461,133.1101,-20.332403,53.18257,1.7375075,9.284737,-15.366098,-0.55821115,-10.45738,-9.043061,-10.882774,-4.3225136,0.38000125,-17.717237,5.167342,-11.219275,-5.692375,-5.6026406,-5.8347416,-1.0687351,1001_IOM_FEA_XX,fear
25,25,25,2305,1287.7070074351284,2657.8655374461205,-357.90125,129.16937,-6.7464304,46.590466,-2.3594198,6.8815055,-11.048641,2.383667,-12.57376,-10.394979,-9.27487,-5.4488363,-3.4024277,-17.1416,4.779109,-11.93282,-6.587032,-3.4191186,-3.4820406,-3.577514,1001_IOM_HAP_XX,happy
26,26,26,2786,1241.1371994334067,2601.6939252336447,-390.1511,134.43855,-4.543945,47.489532,-0.58582157,9.795748,-6.9007382,1.2990386,-8.83333,-8.442285,-10.61738,-4.5289373,0.17146058,-16.03633,3.9441662,-10.339308,-6.565789,-3.033992,-4.869339,-4.8850064,1001_IOM_NEU_XX,neutral
27,27,27,2472,1264.2402662904788,2540.66162109375,-396.6834,149.09015,-15.349016,52.951504,-5.547186,15.813981,-16.42773,9.404307,-11.084917,-12.884663,-5.173339,-4.2212677,1.3261425,-15.632882,5.0156717,-13.983779,-1.2053663,-5.046993,-5.617202,-1.4789097,1001_IOM_SAD_XX,sad
28,28,28,3745,1393.7091945862398,2698.2357876972087,-343.08646,138.2289,-23.818777,40.449825,-4.2749662,17.365273,-19.496325,-0.91166115,-8.86129,-5.4821124,-5.9790545,-3.46602,-0.5581994,-18.906754,7.091263,-10.623076,-6.6033645,-6.349085,-3.5635693,-4.050062,1001_ITH_ANG_XX,angry
29,29,29,3931,1556.701708711301,3058.058458693484,-376.93726,148.65862,-40.508034,58.175034,-16.452774,27.785288,-21.376543,9.634311,-10.700302,-4.8438597,-2.4121406,-5.160633,0.32495102,-17.920408,11.199082,-18.973635,-2.5514457,-5.6183453,-3.7183332,-3.7040505,1001_ITH_DIS_XX,disgust
30,30,30,3013,1355.8030538000912,2609.4219501201924,-308.54538,130.15663,-19.54307,30.300734,-3.0604472,12.383364,-18.203041,-4.021115,-8.699687,-5.4806623,-6.3455315,-2.79872,-3.5469766,-18.634262,4.0089865,-11.932652,-7.9718146,-5.7220893,-4.116103,-5.974131,1001_ITH_FEA_XX,fear
31,31,31,3478,1322.2620801023108,2538.402407637266,-335.8721,137.10127,-20.032589,34.95028,-3.7844365,16.860138,-20.357635,-3.7611163,-8.812775,-6.253169,-5.686883,-3.5814338,-1.2855908,-17.264807,4.492334,-12.268273,-5.4430547,-5.7353635,-6.2261868,-4.06874,1001_ITH_HAP_XX,happy
32,32,32,3554,1293.6354369361125,2622.286798257743,-377.55667,146.59453,-20.704897,46.30951,-6.47058,20.508083,-17.600647,0.46327424,-6.6782217,-8.483393,-5.2426715,-2.3448482,-2.1433408,-18.585548,8.157653,-12.408335,-6.1834426,-4.537586,-4.1835895,-2.8378873,1001_ITH_NEU_XX,neutral
33,33,33,3422,1353.651552006807,2746.7377597845875,-417.3907,155.76112,-29.631668,61.541058,-12.571925,33.322758,-24.049831,10.05012,-12.71673,-6.2219663,-1.8103267,-7.0316453,-0.69143957,-18.298815,11.378298,-16.750895,-0.87830204,-8.366205,-3.908943,-2.7776327,1001_ITH_SAD_XX,sad
34,34,34,5656,1654.787420396112,3158.4941142314187,-328.69733,123.440605,-11.615461,52.3163,-9.685388,16.585361,-22.889585,-0.7934404,-12.12236,-5.4083767,-8.393586,-4.098147,-1.7364577,-17.648306,8.856706,-14.488148,-3.4161868,-6.753606,-3.2057245,-2.442369,1001_ITS_ANG_XX,angry
35,35,35,4882,1717.3175040555504,3298.5467208059213,-367.3058,134.44334,-20.99849,59.8332,-15.562625,27.207352,-26.826292,5.640496,-11.6339855,-4.5334587,-5.521106,-6.221195,-0.0839717,-17.198292,8.928588,-18.774008,-0.6968162,-8.530759,-2.4249876,-3.601864,1001_ITS_DIS_XX,disgust
36,36,36,4356,1666.8340722098887,3167.4873683763585,-313.68008,118.94258,-12.146823,39.798126,-8.077765,15.128161,-22.533772,1.8235477,-8.807027,-8.330152,-10.48828,-5.1453447,-1.497863,-16.069557,5.1880064,-13.949589,-4.272434,-7.4996986,-4.146629,-6.3728676,1001_ITS_FEA_XX,fear
37,37,37,4394,1601.1068783477874,3099.0812602796054,-313.53265,121.83236,-15.944605,41.913277,-6.1985707,13.941973,-20.73464,-0.32648483,-11.19289,-6.861297,-8.928731,-4.3538632,0.21803208,-13.896717,5.511977,-16.657724,-5.4716034,-6.214483,-5.1268086,-6.3341713,1001_ITS_HAP_XX,happy
38,38,38,4593,1578.3546570672208,3058.53515625,-378.13055,133.46693,-17.172186,59.535583,-8.618335,26.010584,-22.547691,0.3200929,-9.713925,-7.4569306,-8.603609,-5.407023,-1.8608047,-19.94272,9.236659,-14.725757,-3.9991999,-4.852382,-3.1335685,-3.886119,1001_ITS_NEU_XX,neutral
39,39,39,4758,1477.1516415725594,2893.313519021739,-419.1052,144.35347,-19.423708,61.524715,-11.076143,33.126984,-23.255676,5.6916165,-8.221954,-5.193405,-5.6693873,-5.7109513,1.4192376,-18.91601,6.20012,-16.969187,-0.7945515,-6.8966937,-2.6660714,-3.1917346,1001_ITS_SAD_XX,sad
40,40,40,4711,1393.1372320692763,2813.6194827782847,-303.77148,137.19481,-22.53393,34.95072,-20.060247,6.543743,-10.082433,-1.9012866,-11.436794,-8.436468,-9.7322855,-0.4865491,-1.3225971,-18.0698,6.1702104,-14.664768,-5.422093,-4.8846335,-8.369636,-3.6917944,1001_IWL_ANG_XX,angry
41,41,41,2916,1226.8555681551259,2515.116923564189,-386.1965,145.80214,-10.076598,41.239643,-10.847578,15.168685,-7.2366557,6.451449,-8.633055,-8.020786,-4.581169,-1.9230268,0.43743154,-13.643349,4.433514,-14.9625435,-3.6553597,-5.5107074,-6.418821,-4.3141847,1001_IWL_DIS_XX,disgust
42,42,42,3267,1341.9050953448098,2624.6465886680826,-338.48917,127.62624,-9.059796,29.457087,-8.434119,10.830614,-9.807841,0.878867,-8.997655,-8.313616,-9.380574,-2.1474583,-0.9475121,-13.274096,3.9230807,-14.68728,-7.1238747,-6.569285,-3.5167453,-2.8423812,1001_IWL_FEA_XX,fear
43,43,43,2754,1329.7249921839193,2617.7039513221152,-324.58005,132.51855,-16.066353,29.178574,-8.162336,4.3235555,-10.660492,0.38672832,-10.318241,-8.711093,-9.058001,-3.2955625,-2.5290499,-16.248167,3.3888683,-13.348858,-8.133535,-5.148087,-4.5741367,-4.044136,1001_IWL_HAP_XX,happy
44,44,44,3440,1245.9474947970036,2587.8358422256097,-364.2279,143.24205,-15.017379,38.82978,-11.284924,9.803038,-9.147488,0.41421995,-7.600741,-8.792168,-9.39347,-1.0340996,-0.13111609,-17.354633,4.366055,-13.177243,-6.4229045,-3.1434941,-5.1854334,-4.1994987,1001_IWL_NEU_XX,neutral
45,45,45,3115,1140.621904552715,2263.6123285060976,-421.94598,157.61787,-13.172068,49.208675,-13.446606,22.559813,-15.185227,8.680074,-9.787105,-10.010243,-3.2263951,-4.9750485,0.6604488,-14.714499,4.624301,-17.725945,-3.267068,-6.3758993,-6.143391,-3.195243,1001_IWL_SAD_XX,sad
46,46,46,4041,1476.7443955886945,2957.9878373579545,-362.57138,124.59001,-4.8043356,36.689617,-4.395361,12.459175,-10.851029,2.096299,-8.071026,-11.567432,-7.138897,0.37573373,-2.2216954,-13.987954,5.7790504,-12.785271,-5.948642,-4.230921,-4.1922717,-2.8262105,1001_IWW_ANG_XX,angry
47,47,47,3397,1428.6482301391675,2868.9404296875,-392.55283,143.7169,-13.597961,47.135628,-13.749364,24.286545,-16.168087,4.386677,-10.191076,-8.093545,-4.935323,-5.195875,-0.17436382,-14.544472,6.298107,-15.216775,-2.9837952,-6.956278,-2.9842849,-4.027181,1001_IWW_DIS_XX,disgust
48,48,48,4078,1527.9540791726902,3052.9548725328946,-358.84042,127.93447,-10.730507,44.422966,-6.9326463,18.730276,-12.650541,1.7215577,-9.377298,-7.1347566,-7.18095,-3.956153,-2.2522988,-14.441216,5.5614204,-15.331565,-3.7536008,-4.856686,-3.9146907,-5.682914,1001_IWW_FEA_XX,fear
49,49,49,3414,1465.5423384764404,2926.742302389706,-356.89716,133.88174,-13.334012,40.088432,-8.364715,18.372005,-13.521459,1.9146231,-12.162648,-9.734718,-3.2621472,-1.6813444,-2.3841515,-17.147377,4.9093738,-15.026459,-4.544145,-2.635057,-5.5795646,-4.9673824,1001_IWW_HAP_XX,happy
50,50,50,3310,1358.8796610455772,2693.408203125,-385.20776,143.35548,-8.689633,42.51497,-14.538076,20.020584,-11.575327,-2.0451949,-10.4900875,-9.561295,-6.8492837,-0.8602064,-2.5939415,-17.413115,7.6173673,-11.670263,-3.1917667,-5.6893334,-4.960435,-3.0053043,1001_IWW_NEU_XX,neutral
51,51,51,3415,1434.7580160061982,2838.9570756392045,-418.60544,146.29936,-11.521985,54.515476,-16.035822,29.118336,-14.789926,10.023716,-10.702286,-9.777355,-3.7264445,-6.1921535,-0.09749282,-15.276098,7.4646153,-15.971069,-1.8209084,-6.880829,-4.051935,-3.6214569,1001_IWW_SAD_XX,sad
52,52,52,4226,1333.2890921060443,2606.925518329327,-334.5617,130.97025,-4.175965,47.642376,-8.875146,1.2994857,-11.939746,-2.4094427,-12.2159815,-8.340149,-12.417955,-4.4238873,-1.051609,-13.962857,5.1754665,-13.268594,-2.7563095,-4.9849644,-7.917871,-2.0988111,1001_MTI_ANG_XX,angry
53,53,53,3457,1198.354875211113,2361.4463505782483,-377.34863,141.99239,-0.07938622,47.657043,-7.991509,9.04957,-10.448182,-0.015553113,-9.688033,-6.482606,-7.678402,-6.4206553,-3.5269494,-11.925772,5.738436,-14.216465,-2.8476126,-4.851831,-5.537233,-1.404472,1001_MTI_DIS_XX,disgust
54,54,54,3004,1268.2283202407561,2505.586790807039,-322.09485,123.562614,-0.24248153,36.79555,-3.2245176,-0.34808227,-11.184012,-3.9449732,-10.236346,-9.537603,-11.987825,-6.541804,-6.1924176,-10.808711,4.374657,-13.112812,-7.3772264,-4.806965,-4.650523,-5.405789,1001_MTI_FEA_XX,fear
55,55,55,3291,1330.2144014825665,2587.8519891535193,-326.53247,131.53073,-6.2676654,41.40228,-10.442141,3.289122,-15.272072,-1.3002447,-9.024548,-8.947384,-13.373003,-4.5969267,-0.106174655,-15.6485195,5.0959744,-11.006447,-5.7893143,-5.007634,-3.9891243,-3.9395447,1001_MTI_HAP_XX,happy
56,56,56,2909,1249.9395119868473,2540.056640625,-366.10886,138.18022,-5.6409917,48.356415,-8.439903,4.642303,-11.2488365,0.5838505,-11.172429,-11.0133,-11.4730215,-5.1568384,-2.3202443,-15.347919,5.531786,-12.234872,-3.5487845,-2.884846,-5.340284,-3.0762284,1001_MTI_NEU_XX,neutral
57,57,57,2856,1186.3065011968233,2317.080322265625,-399.5978,149.017,-7.3814945,49.862816,-9.580321,13.661922,-14.650671,4.3084474,-8.888461,-8.908097,-7.7021947,-9.047327,-2.7279627,-10.566193,6.697496,-16.583832,-2.619235,-4.2395463,-5.239104,-3.7557404,1001_MTI_SAD_XX,sad
58,58,58,4270,1536.8451592577082,3083.2988474628714,-325.3278,125.587105,-6.9561367,49.256874,-12.129462,7.1015043,-14.197301,-2.5940394,-16.193121,-4.8075423,-8.908877,-6.7696195,-1.3862333,-14.393179,5.4720826,-14.056619,-2.2320378,-3.8954449,-4.482582,-5.1242566,1001_TAI_ANG_XX,angry
59,59,59,5131,1473.716660246599,2853.6968683792375,-365.38486,132.28033,-2.853922,48.970562,-10.573677,11.152269,-17.236717,0.708822,-11.8745985,-6.981962,-6.790516,-6.5309434,-2.2844002,-14.464934,3.6721535,-14.491232,-0.101731144,-4.759517,-3.9832137,-1.7773755,1001_TAI_DIS_XX,disgust
60,60,60,3998,1443.8678999970703,2881.3082181490386,-338.2639,121.75246,-0.75486666,41.18963,-8.241558,8.494683,-12.710604,-3.6554887,-12.764274,-5.2147555,-10.1385565,-7.1541033,-3.2917552,-13.780692,3.3104281,-13.470412,-4.534631,-5.137192,-3.1760368,-6.1404653,1001_TAI_FEA_XX,fear
61,61,61,3995,1421.1888758669704,2982.647705078125,-363.09067,129.16023,-4.4082246,49.03973,-11.56726,12.484053,-10.352053,-3.059605,-11.831335,-4.842979,-9.891176,-6.4022074,-2.3771045,-14.531141,6.324462,-14.630666,-3.736684,-3.0369797,-3.488364,-3.6111124,1001_TAI_HAP_XX,happy
62,62,62,4123,1414.9829731190778,2713.668575802365,-384.70752,126.72908,4.173474,46.870457,-3.645976,10.917114,-12.632695,-5.5429554,-8.432807,-5.294034,-10.904874,-6.076427,-2.1177106,-14.240816,5.0092387,-11.140209,-3.0219707,-2.6205933,-5.185239,-4.1670637,1001_TAI_NEU_XX,neutral
63,63,63,3804,1305.3009150216474,2616.9070409349174,-429.01456,151.3701,-12.219135,62.30914,-14.450235,26.634045,-19.982506,6.5200167,-14.308563,-6.756758,-4.0104203,-9.083089,1.0748549,-14.908846,7.757989,-16.742952,1.1048694,-4.6768966,-3.9410005,-3.4311187,1001_TAI_SAD_XX,sad
64,64,64,6023,1603.6279911335514,3195.2702308768658,-358.79132,137.5276,-27.718601,55.3966,-7.3998084,17.083889,-21.943209,1.0204364,-4.120189,-5.4433565,-10.044069,-0.74815327,-3.4587831,-20.092066,11.220517,-19.41098,-4.5974665,-3.5715811,-4.77625,-4.3648,1001_TIE_ANG_XX,angry
65,65,65,4024,1494.7737932997156,2842.6094777960525,-347.54156,143.27647,-28.38186,42.506054,-1.3845909,19.886406,-24.048645,-6.716111,-6.6207185,-4.29887,-8.861673,-1.0336674,-3.0122137,-17.317379,8.565449,-17.149746,-1.7112303,-5.298297,-4.6560545,-2.3783484,1001_TIE_DIS_XX,disgust
66,66,66,3863,1501.3117802082845,2969.029125724871,-349.41592,133.49525,-23.568636,43.788338,-1.2593468,18.912012,-21.73581,0.22867635,-6.5822964,-3.384618,-8.60944,-5.280864,-1.455589,-15.9002495,7.2073264,-18.868954,-7.3115606,-5.3048825,-4.176752,-5.612116,1001_TIE_FEA_XX,fear
67,67,67,3949,1477.7113250985028,2988.80859375,-325.82678,123.20488,-13.764182,28.918694,8.485826,6.887667,-17.506067,-3.897544,-5.083136,-6.207456,-11.793842,0.52093434,-4.2339363,-17.553028,6.4967103,-12.357994,-8.767397,-5.2063255,-5.2280707,-5.313054,1001_TIE_HAP_XX,happy
68,68,68,3467,1342.2716437236138,2758.2075639204545,-393.2167,136.92516,-11.888508,44.187965,3.02593,16.596914,-12.396666,-5.6103883,-5.5625467,-4.6115,-6.4464126,-1.8003227,-3.8334196,-15.031449,6.515026,-14.259627,-7.5840564,-4.8432612,-5.3990526,-3.0037956,1001_TIE_NEU_XX,neutral
69,69,69,4473,1399.9826048599566,2893.010496183206,-422.98898,142.10902,-19.187647,56.93125,-3.7744577,26.709007,-20.079464,5.8925395,-8.332586,-4.4711075,-4.0196,-6.457295,-0.8464043,-16.510145,7.2649503,-16.21686,-1.4862939,-6.55185,-4.6700244,-4.407296,1001_TIE_SAD_XX,sad
70,70,70,8030,2115.9916477550855,3906.2825520833335,-311.0897,104.10886,-15.664057,54.15484,-14.219604,23.902975,-18.370956,-1.3455584,-13.637213,-5.4838967,-11.911802,-2.8786488,-0.28234464,-17.434994,8.568281,-15.254594,-0.71269447,-5.9066224,-1.596528,-4.759992,1001_TSI_ANG_XX,angry
71,71,71,7157,2117.40473695736,3911.368901678856,-356.17752,107.60362,-8.494162,52.49252,-14.132636,28.974783,-18.013266,2.084609,-10.314271,-4.528395,-6.064758,-4.177043,-1.824231,-14.126676,8.731335,-14.658609,1.2260127,-7.70045,-2.6657345,-3.622241,1001_TSI_DIS_XX,disgust
72,72,72,5025,1865.6950633760216,3556.392316120427,-317.65463,95.374916,-3.7664664,35.006443,-6.247139,18.659245,-15.715645,-1.1890607,-12.742521,-5.205058,-8.767231,-3.0701206,-3.2652268,-12.425064,6.555071,-15.475406,-6.5587916,-11.725581,-6.0841484,-6.993063,1001_TSI_FEA_XX,fear
73,73,73,4859,1762.6585657424594,3467.9910862699467,-335.70718,106.721825,-7.4608207,38.6485,-0.19688988,18.661936,-17.48864,-1.3321259,-11.091858,-5.071531,-9.062549,-5.814789,-4.6820307,-13.918575,7.123295,-14.209341,-5.386563,-5.830743,-3.2082438,-6.9511647,1001_TSI_HAP_XX,happy
74,74,74,5455,1738.1213419569515,3453.10546875,-384.48657,118.117355,-4.6142178,52.14154,-7.8827796,27.972797,-16.06311,-1.0035342,-8.997372,-6.5781994,-8.025698,-4.4270067,-4.704787,-15.178281,8.30921,-16.045115,-1.5610749,-5.5188465,-3.5077689,-3.8413393,1001_TSI_NEU_XX,neutral
75,75,75,5135,1618.5712077078458,3141.9535319010415,-415.73657,129.34172,-6.4987397,57.24668,-10.79024,32.61315,-17.709793,5.678458,-9.387373,-6.971839,-6.367814,-6.373203,-0.4197372,-16.262472,6.2648807,-15.642505,0.21925803,-6.030941,-3.5349076,-3.5452528,1001_TSI_SAD_XX,sad
76,76,76,6966,1816.8765685008952,3377.1544375662074,-310.3774,122.51752,-18.062737,46.954414,-18.729889,14.173893,-16.162739,-1.6696041,-10.05394,-8.045107,-12.359814,-2.4342432,-0.65052074,-14.994472,10.3757305,-18.166628,-2.9356706,-1.6470271,-5.450439,-4.932536,1001_WSI_ANG_XX,angry
77,77,77,5440,1621.352290913182,3141.881581182065,-383.5544,132.82292,-13.40958,50.03981,-13.582479,25.581644,-15.613295,4.2107077,-8.810254,-8.992637,-5.960496,-5.109989,-2.2144737,-13.956584,6.645396,-17.259905,-1.7556425,-5.723648,-3.9430673,-4.0461903,1001_WSI_DIS_XX,disgust
78,78,78,4741,1613.4782398871237,3101.527450108292,-314.74323,111.74943,-6.4068513,31.685387,-8.1293,11.67549,-15.632016,-1.6644801,-10.072355,-8.814536,-9.900274,-2.1720703,-0.7542317,-12.943093,2.196754,-15.717639,-4.793337,-4.9501214,-3.2461581,-7.537544,1001_WSI_FEA_XX,fear
79,79,79,4749,1645.4677636963206,3244.662198153409,-321.49484,117.762665,-10.370047,35.70749,-8.608862,12.2779665,-13.186549,0.952738,-11.81448,-7.3878145,-9.804659,-5.138125,-0.55642986,-13.993513,5.9244676,-14.197408,-5.914262,-3.538447,-4.343396,-6.5129356,1001_WSI_HAP_XX,happy
80,80,80,4993,1504.3200038222528,2993.2064767611228,-380.1013,134.90793,-12.002506,50.722954,-14.041892,22.081947,-11.20513,-0.1737892,-11.940367,-6.9400487,-7.1335325,-4.1903157,-0.6406165,-15.891966,9.018211,-14.811694,-4.719398,-2.6643887,-2.6755157,-4.285613,1001_WSI_NEU_XX,neutral
81,81,81,4207,1477.4895075514903,2913.5916228341584,-397.456,137.60892,-10.034013,47.985477,-9.252973,23.237612,-15.263485,4.8793306,-11.433487,-6.93997,-2.3838494,-5.6670856,-1.9758599,-13.939606,6.7416835,-15.671732,-1.8138925,-4.5695047,-4.730866,-4.797351,1001_WSI_SAD_XX,sad
